year,site,AGSM,ALTE,ARFR,ARLO,ASGR,ASOX,BOGR,BUDA,CAFI,CAHE,CHAL,CHLE,CHNA,CHVI,COVI,EREF,EUGL,FEOC,FORB,GACO,GRSQ,GUSA,HASP,HOJU,IPLA,LARE,LEDE,LIIN,LUPU,LYJU,MATA,MILI,MUTO,OECO,OPPO,PEAL,PEAN,PEGR,PESE,PIOP,PLPA,POOL,PSTE,SAIB,SCPA,SETR,SIHY,SPCO,SPCR,STCO,TAPA,THFI,THME,TOGR,TRDU,TROC
97,2,1.452666667,0,1.668,2.589333333,0.004,0,10.76933333,3.132,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0.044666667,0,0,0,0,0,0,0,0.004666667,0.108,0,0,0,1.274666667,0,0,0,0,0,0,0,1.180666667,0,0,0,0.314666667,0.280666667,0,0,0.004666667,0.132666667,0,0,0,0
98,2,2.67,0,0.096,3.100666667,0,0.132,7.108,2.102,0,0.835333333,0,0,0,0.028,0.492,0,0,0,0,0,0,3.823333333,0,0,0,0,0,0,0.012666667,0,0,0,0,0,4.892,0.028666667,0,0,0.016666667,0.003333333,0,0,0.043333333,0,0,0.005333333,0.226666667,0.309333333,0,0,0,0,0,0.048666667,0,0
1999,2,3.974666667,0,0,2.996666667,0,0.059333333,7.581333333,2.944,0,1.245333333,0,0.010666667,0,0,0,0.879333333,0,0.066,0,0,0,3.676,0,0,0,0,0.008666667,0,0,0,0,0.014666667,0,0,4.480666667,0.068666667,0,0,0,0,0.006,0,1.054,0.001333333,0,0,0.539333333,0.350666667,0.394,0.109333333,0,0,0,0.014,0,0
2000,2,1.41,0,0,4.638666667,0,0,1.509333333,1.984666667,0,0.103333333,0,0,0,0,0.167333333,0,0,0,0,0,0,1.377333333,0,0,0,0,0,0.030666667,0,0,0,0,0,0,1.035333333,0,0,0,0,0.003333333,0,0,0,0,0,0.003333333,0.096666667,0.234,0,0.283333333,0,0,0,0,0,0
2001,2,0.602,0,0.7,0.803333333,0,0.215333333,3.554,2.964,0,1.134,0,0,0,0,0,0,0,0.032,0.009333333,0.007333333,0,3.906,0,0,0,0,0.006666667,0,0,0,0,0.008,0,0,1.387333333,0.016666667,0,0,0,0,0,0,0,0,0,0,0.096,0.239333333,0,0.080666667,0,0,0,0,0,0
2002,2,0.156,0,0.012,0.301333333,0,0,1.103333333,0.672666667,0,0.028666667,0,0,0,0,0,0,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0,0,0.003333333,0,0,7.142,0,0,0,0,0,0,0,0,0,0,0,0.004666667,0.066,0,0.004666667,0,0,0,0,0,0
83,3,0,0,0,0.857333333,0,0,27.24866667,0,0,0.455333333,0,0.037333333,0,0,0,0,0,0.559333333,0.338666667,0,0,0,0,0,0,0,0.207333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059333333,0,0,0,0,0,0.606666667,0.305333333,0,0,0,0,0,0,0,0
84,3,0,0,0,0.175333333,0,0,28.08733333,0,0,2.842666667,0,0,0,0,0,0,0,1.343333333,0.464666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177333333,1.323333333,0,0,0,0,0,0,0,0
85,3,0,0,0,0.797142857,0,0,29.72714286,0,0,0.226428571,0,0,0,0,0,0,0,0,0.339285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.445,0,0,0,0,0,0,0,0
86,3,0,0,0,0,0,0,14.02133333,0,0,1.704,0,0,0,0,0,0,0,3.111333333,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319333333,2.141333333,0,0,0,0,0,0,0,0
