"year","site","AGSM","ALTE","ARFR","ARLO","ASGR","ASOX","BOGR","BUDA","CAFI","CAHE","CHAL","CHLE","CHNA","CHVI","COVI","EREF","EUGL","FEOC","FORB","GACO","GRSQ","GUSA","HASP","HOJU","IPLA","LARE","LEDE","LIIN","LUPU","LYJU","MATA","MILI","MUTO","OECO","OPPO","PEAL","PEAN","PEGR","PESE","PIOP","PLPA","POOL","PSTE","SAIB","SCPA","SETR","SIHY","SPCO","SPCR","STCO","TAPA","THFI","THME","TOGR","TRDU","TROC"
"95","2",2.18866666666667,0.0133333333333333,0,2.802,0.00866666666666667,0.008,5.572,4.16533333333333,0.598,1.02466666666667,0,1.15733333333333,0,0,0,0,0,0.621333333333333,0.158,0,0,1.03933333333333,0,0,0,0,1.75866666666667,0,0,0,0.006,0,0,0,0.843333333333333,0.153333333333333,0.153333333333333,0.133333333333333,0,0,0.0953333333333333,0,1.33666666666667,3.14666666666667,0,0,0.395333333333333,0.398,0,0,0,0,0,0,0,0
"96","2",1.99428571428571,0.00357142857142857,0.0685714285714286,1.76357142857143,0,0,13.8971428571429,0.391428571428571,0,1.24428571428571,0,0,0.457857142857143,0,0,0,0.00714285714285714,0.04,0,0,0,0.420714285714286,0.102142857142857,0,0.00642857142857143,0,0,0,0,0,0,0.0664285714285714,0,0,0.172142857142857,0.00571428571428571,0,0,0,0,0.0164285714285714,0,0,0,0,0,0.944285714285714,0.334285714285714,0,0,0,0,0,0,0.0135714285714286,0.00928571428571429
"97","2",1.45266666666667,0,1.668,2.58933333333333,0.004,0,10.7693333333333,3.132,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0.0446666666666667,0,0,0,0,0,0,0,0.00466666666666667,0.108,0,0,0,1.27466666666667,0,0,0,0,0,0,0,1.18066666666667,0,0,0,0.314666666666667,0.280666666666667,0,0,0.00466666666666667,0.132666666666667,0,0,0,0
"98","2",2.67,0,0.096,3.10066666666667,0,0.132,7.108,2.102,0,0.835333333333333,0,0,0,0.028,0.492,0,0,0,0,0,0,3.82333333333333,0,0,0,0,0,0,0.0126666666666667,0,0,0,0,0,4.892,0.0286666666666667,0,0,0.0166666666666667,0.00333333333333333,0,0,0.0433333333333333,0,0,0.00533333333333333,0.226666666666667,0.309333333333333,0,0,0,0,0,0.0486666666666667,0,0
"1999","2",3.97466666666667,0,0,2.99666666666667,0,0.0593333333333333,7.58133333333333,2.944,0,1.24533333333333,0,0.0106666666666667,0,0,0,0.879333333333333,0,0.066,0,0,0,3.676,0,0,0,0,0.00866666666666667,0,0,0,0,0.0146666666666667,0,0,4.48066666666667,0.0686666666666667,0,0,0,0,0.006,0,1.054,0.00133333333333333,0,0,0.539333333333333,0.350666666666667,0.394,0.109333333333333,0,0,0,0.014,0,0
"2000","2",1.41,0,0,4.63866666666667,0,0,1.50933333333333,1.98466666666667,0,0.103333333333333,0,0,0,0,0.167333333333333,0,0,0,0,0,0,1.37733333333333,0,0,0,0,0,0.0306666666666667,0,0,0,0,0,0,1.03533333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0.00333333333333333,0.0966666666666667,0.234,0,0.283333333333333,0,0,0,0,0,0
"2001","2",0.602,0,0.7,0.803333333333333,0,0.215333333333333,3.554,2.964,0,1.134,0,0,0,0,0,0,0,0.032,0.00933333333333333,0.00733333333333333,0,3.906,0,0,0,0,0.00666666666666667,0,0,0,0,0.008,0,0,1.38733333333333,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.096,0.239333333333333,0,0.0806666666666667,0,0,0,0,0,0
"2002","2",0.156,0,0.012,0.301333333333333,0,0,1.10333333333333,0.672666666666667,0,0.0286666666666667,0,0,0,0,0,0,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,7.142,0,0,0,0,0,0,0,0,0,0,0,0.00466666666666667,0.066,0,0.00466666666666667,0,0,0,0,0,0
"83","3",0,0,0,0.857333333333333,0,0,27.2486666666667,0,0,0.455333333333333,0,0.0373333333333333,0,0,0,0,0,0.559333333333333,0.338666666666667,0,0,0,0,0,0,0,0.207333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593333333333333,0,0,0,0,0,0.606666666666667,0.305333333333333,0,0,0,0,0,0,0,0
"84","3",0,0,0,0.175333333333333,0,0,28.0873333333333,0,0,2.84266666666667,0,0,0,0,0,0,0,1.34333333333333,0.464666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177333333333333,1.32333333333333,0,0,0,0,0,0,0,0
"85","3",0,0,0,0.797142857142857,0,0,29.7271428571429,0,0,0.226428571428571,0,0,0,0,0,0,0,0,0.339285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.445,0,0,0,0,0,0,0,0
"86","3",0,0,0,0,0,0,14.0213333333333,0,0,1.704,0,0,0,0,0,0,0,3.11133333333333,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319333333333333,2.14133333333333,0,0,0,0,0,0,0,0
"87","3",0,0,0,0,0,0,13.7126666666667,0,0,1.972,0,0,0,0,0,0,0,2.98333333333333,0.172666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268666666666667,0.621333333333333,0,0,0,0,0,0,0,0
"88","3",0,0,0,0,0,0,18.2413333333333,0,0,2.00933333333333,0,0.0106666666666667,0,0,0,0,0,0.366666666666667,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51133333333333,1.62866666666667,0,0,0,0,0,0,0,0
